time,true_x,true_y,true_heading,true_speed,gnss_lat,gnss_lon,gnss_x,gnss_y,instant_speed,filtered_speed,spread,is_stationary,is_updating,machine_x,machine_y,machine_heading,hitch_x,hitch_y,hitch_heading,impl_x,impl_y,impl_heading,cross_track_error,heading_error,active_line
0.000,0.0000,0.0000,0.0000,0.000,38.06517821,-79.05179044,-0.0385,0.9120,1.575,0.000,0.4391,1,0,0.5669,1.7079,-2.4913,1.4751,2.9017,-2.4913,4.5024,6.8811,-2.4913,0.0000,0.0000,0
0.102,0.0000,0.0000,0.0000,0.000,38.06517997,-79.05179009,-0.0080,1.1082,1.947,0.000,0.4458,1,0,0.5975,1.9041,-2.4913,1.5056,3.0979,-2.4913,4.5329,7.0773,-2.4913,0.0000,0.0000,0
0.204,0.0000,0.0000,0.0000,0.000,38.06517932,-79.05179083,-0.0728,1.0362,0.949,0.000,0.4458,1,0,0.5327,1.8321,-2.4913,1.4409,3.0259,-2.4913,4.4681,7.0053,-2.4913,0.0000,0.0000,0
0.305,0.0000,0.0000,0.0000,0.000,38.06517853,-79.05179175,-0.1535,0.9477,1.186,0.000,0.4460,1,0,0.4519,1.7436,-2.4913,1.3601,2.9374,-2.4913,4.3874,6.9168,-2.4913,0.0000,0.0000,0
0.407,0.0000,0.0000,0.0000,0.000,38.06517871,-79.05179012,-0.0108,0.9675,1.413,0.000,0.4460,1,0,0.5947,1.7634,-2.4913,1.5029,2.9572,-2.4913,4.5302,6.9366,-2.4913,0.0000,0.0000,0
0.509,0.0000,0.0000,0.0000,0.000,38.06517826,-79.05178780,0.1924,0.9185,2.049,0.000,0.4120,1,0,0.7978,1.7144,-2.4913,1.7060,2.9082,-2.4913,4.7333,6.8876,-2.4913,0.0000,0.0000,0
0.611,0.0000,0.0000,0.0000,0.000,38.06517921,-79.05178979,0.0187,1.0231,1.988,0.000,0.4120,1,0,0.6242,1.8190,-2.4913,1.5324,3.0128,-2.4913,4.5596,6.9922,-2.4913,0.0000,0.0000,0
0.712,0.0000,0.0000,0.0000,0.000,38.06517863,-79.05178858,0.1245,0.9589,1.226,0.000,0.4120,1,0,0.7300,1.7547,-2.4913,1.6382,2.9486,-2.4913,4.6655,6.9279,-2.4913,0.0000,0.0000,0
0.813,0.0000,0.0000,0.0000,0.000,38.06517904,-79.05178954,0.0403,1.0042,0.947,0.000,0.4120,1,0,0.6457,1.8001,-2.4913,1.5539,2.9939,-2.4913,4.5812,6.9733,-2.4913,0.0000,0.0000,0
0.915,0.0000,0.0000,0.0000,0.000,38.06517827,-79.05178901,0.0868,0.9186,0.956,0.000,0.4120,1,0,0.6923,1.7144,-2.4913,1.6005,2.9083,-2.4913,4.6278,6.8876,-2.4913,0.0000,0.0000,0
